Ссылка;Текст
http://devanswers.ru/a/0b;ЭТОТ КОД ПЕДАЛИЛИ СЕМЬ ЧЕЛОВЕК!
http://devanswers.ru/a/0c;НУ ТАК ОТ ИНДУСОВ ЖЕ ПРОЕКТ ЗАШЕЛ!
http://devanswers.ru/a/0d;ДЛЯ НАС ЭТО НОВАЯ ТЕХНОЛОГИЯ, ПОЙМИТЕ ПРАВИЛЬНО
http://devanswers.ru/a/0e;А ЭТО РАЗВЕ НЕ ИЗ СВЕЖЕГО БЭКАПА ПОДНЯЛИ?
http://devanswers.ru/a/0f;Я ПРЕДЛАГАЮ ОСТАВИТЬ ВСЕ КАК ЕСТЬ ДО СЛЕДУЮЩЕЙ ИТЕРАЦИИ
http://devanswers.ru/a/0g;Я ПРОБОВАЛ НАПИСАТЬ УНИВЕРСАЛЬНЫЙ МОДУЛЬ НА БУДУЩЕЕ
http://devanswers.ru/a/0h;ТАК ИСТОРИЧЕСКИ СЛОЖИЛОСЬ НА ПРОЕКТЕ
http://devanswers.ru/a/0i;СКОЛЬКО ТУТ РАБОТАЮ — ПЕРВЫЙ РАЗ ТАКОЕ С ОТОБРАЖЕНИЕМ
http://devanswers.ru/a/0j;НАШ ДЖУНИОР УМУДРИЛСЯ ПОЛОЖИТЬ БАЗУ
http://devanswers.ru/a/1b;НИКТО НЕ ЗНАЕТ, ЧТО ЭТО, А ЧЕЛОВЕК УЖЕ УВОЛИЛСЯ
http://devanswers.ru/a/1c;ОНО НОРМАЛЬНО СМОТРИТСЯ, ТОЛЬКО ЕСЛИ НЕ ФУЛЛ-ХД
http://devanswers.ru/a/1d;А У МЕНЯ БЕЗ ПОДЕРГИВАНИЙ ПРОИГРЫВАЕТСЯ
http://devanswers.ru/a/1e;НЕТ, БЭКАПЫ ДЕЛАЮТСЯ ТОЛЬКО РАЗ В НЕДЕЛЮ
http://devanswers.ru/a/1f;ЕСЛИ ЭТО НЕ МЕШАЕТ ПОЛЬЗОВАТЕЛЯМ, ЛУЧШЕ НЕ ТРОГАТЬ
http://devanswers.ru/a/1g;Я ПРОСТО НЕ ВЫНОСИЛ В КОНФИГИ — ВСЕ РАВНО ПЕРЕДЕЛЫВАТЬ
http://devanswers.ru/a/1h;НУ ДАВАЙТЕ КАК-ТО ОБЫГРАЕМ ЭТО, МОЛ, ОБНОВЛЕНИЕ СЕРВЕРА И ВСЕ ТАКОЕ
